goal,difficulty,age,weight_kg,height_cm,gender,activity_level,muscle_group,exercise_name,exercise_type,sets,reps,duration_sec,rest_sec,order_in_workout,met_value,estimated_calories
Weight Loss,Advanced,40,50,177,male,active,Core,Crunches,strength,3,18,0,36,2,3.0,10.5
Weight Loss,Advanced,40,50,177,male,active,Full Body,Battle Ropes,cardio,3,0,36,36,3,10.0,15.0
Weight Loss,Advanced,40,50,177,male,active,Legs,Romanian Deadlift,strength,3,18,0,36,4,5.0,17.5
Maintain Weight,Intermediate,31,76,195,male,moderate,Cardio,Kettlebell Swing,cardio,3,0,30,60,1,9.0,17.1
Maintain Weight,Intermediate,31,76,195,male,moderate,Core,Russian Twist,strength,3,12,0,60,2,3.5,21.3
Maintain Weight,Intermediate,31,76,195,male,moderate,Chest,Cable Fly,strength,3,12,0,60,3,3.5,21.3
Maintain Weight,Intermediate,31,76,195,male,moderate,Legs,Leg Press,strength,3,12,0,60,4,5.0,30.4
Maintain Weight,Intermediate,31,76,195,male,moderate,Shoulders,Arnold Press,strength,3,12,0,60,5,4.0,24.3
Muscle Gain,Beginner,25,81,171,male,very_active,Chest,Dips,strength,3,6,0,72,1,4.0,29.2
Muscle Gain,Beginner,25,81,171,male,very_active,Back,Pull Up,strength,3,6,0,72,2,5.0,36.4
Muscle Gain,Beginner,25,81,171,male,very_active,Legs,Squat,strength,3,6,0,72,3,6.0,43.7
Muscle Gain,Beginner,25,81,171,male,very_active,Shoulders,Lateral Raise,strength,3,6,0,72,4,3.0,21.9
Muscle Gain,Beginner,25,81,171,male,very_active,Arms,Tricep Pushdown,strength,3,6,0,72,5,3.0,21.9
Maintain Weight,Advanced,48,93,156,female,light,Cardio,Battle Ropes,cardio,3,0,36,72,1,10.0,27.9
Maintain Weight,Advanced,48,93,156,female,light,Core,Ab Wheel Rollout,strength,3,14,0,72,2,4.0,31.6
Maintain Weight,Advanced,48,93,156,female,light,Chest,Incline Dumbbell Press,strength,3,14,0,72,3,4.5,35.6
Maintain Weight,Advanced,48,93,156,female,light,Legs,Leg Press,strength,3,14,0,72,4,5.0,39.5
Maintain Weight,Advanced,48,93,156,female,light,Shoulders,Arnold Press,strength,3,14,0,72,5,4.0,31.6
Maintain Weight,Intermediate,26,90,161,male,sedentary,Cardio,Jump Rope,cardio,3,0,30,60,1,12.3,27.7
Maintain Weight,Intermediate,26,90,161,male,sedentary,Core,Ab Wheel Rollout,strength,3,12,0,60,2,4.0,28.8
Maintain Weight,Intermediate,26,90,161,male,sedentary,Chest,Incline Dumbbell Press,strength,3,12,0,60,3,4.5,32.4
Maintain Weight,Intermediate,26,90,161,male,sedentary,Legs,Leg Press,strength,3,12,0,60,4,5.0,36.0
Maintain Weight,Intermediate,26,90,161,male,sedentary,Shoulders,Overhead Press,strength,3,12,0,60,5,5.0,36.0
Muscle Gain,Intermediate,53,71,165,male,sedentary,Chest,Bench Press,strength,4,8,0,90,1,5.0,45.0
Muscle Gain,Intermediate,53,71,165,male,sedentary,Back,Deadlift,strength,4,8,0,90,2,6.0,54.0
Muscle Gain,Intermediate,53,71,165,male,sedentary,Legs,Squat,strength,4,8,0,90,3,6.0,54.0
Muscle Gain,Intermediate,53,71,165,male,sedentary,Shoulders,Front Raise,strength,4,8,0,90,4,3.0,27.0
Muscle Gain,Intermediate,53,71,165,male,sedentary,Arms,Bicep Curl,strength,4,8,0,90,5,3.0,27.0
Muscle Gain,Beginner,30,119,158,female,active,Chest,Dips,strength,3,6,0,72,1,4.0,42.8
Muscle Gain,Beginner,30,119,158,female,active,Back,Bent Over Row,strength,3,6,0,72,2,5.0,53.5
Muscle Gain,Beginner,30,119,158,female,active,Legs,Leg Press,strength,3,6,0,72,3,5.0,53.5
Muscle Gain,Beginner,30,119,158,female,active,Shoulders,Face Pull,strength,3,6,0,72,4,3.0,32.1
Muscle Gain,Beginner,30,119,158,female,active,Arms,Tricep Pushdown,strength,3,6,0,72,5,3.0,32.1
Maintain Weight,Beginner,28,61,197,male,very_active,Cardio,Cycling,cardio,2,0,24,48,1,7.5,6.1
Maintain Weight,Beginner,28,61,197,male,very_active,Core,Leg Raises,strength,2,9,0,48,2,3.0,8.8
Maintain Weight,Beginner,28,61,197,male,very_active,Chest,Incline Dumbbell Press,strength,2,9,0,48,3,4.5,13.3
Maintain Weight,Beginner,28,61,197,male,very_active,Legs,Leg Press,strength,2,9,0,48,4,5.0,14.7
Maintain Weight,Beginner,28,61,197,male,very_active,Shoulders,Front Raise,strength,2,9,0,48,5,3.0,8.8
Weight Loss,Beginner,38,78,191,female,light,Cardio,Jump Rope,cardio,2,0,24,24,1,12.3,12.8
Weight Loss,Beginner,38,78,191,female,light,Core,Russian Twist,strength,2,12,0,24,2,3.5,10.0
Weight Loss,Beginner,38,78,191,female,light,Full Body,Thruster,cardio,2,0,24,24,3,9.5,9.9
Weight Loss,Beginner,38,78,191,female,light,Legs,Lunges,strength,2,12,0,24,4,4.5,12.9
Weight Loss,Intermediate,36,86,168,male,moderate,Cardio,Box Jumps,cardio,3,0,30,30,1,10.0,21.5
Weight Loss,Intermediate,36,86,168,male,moderate,Core,Ab Wheel Rollout,strength,3,15,0,30,2,4.0,21.5
Weight Loss,Intermediate,36,86,168,male,moderate,Full Body,Kettlebell Swing,cardio,3,0,30,30,3,9.0,19.4
Weight Loss,Intermediate,36,86,168,male,moderate,Legs,Squat,strength,3,15,0,30,4,6.0,32.2
Maintain Weight,Advanced,47,64,157,male,very_active,Cardio,Burpees,cardio,3,0,36,72,1,10.0,19.2
Maintain Weight,Advanced,47,64,157,male,very_active,Core,Plank,strength,3,14,0,72,2,3.5,19.0
Maintain Weight,Advanced,47,64,157,male,very_active,Chest,Cable Fly,strength,3,14,0,72,3,3.5,19.0
Maintain Weight,Advanced,47,64,157,male,very_active,Legs,Calf Raises,strength,3,14,0,72,4,2.5,13.6
Maintain Weight,Advanced,47,64,157,male,very_active,Shoulders,Front Raise,strength,3,14,0,72,5,3.0,16.3
Muscle Gain,Intermediate,36,106,186,male,very_active,Chest,Push Up,strength,4,8,0,90,1,3.8,51.0
Muscle Gain,Intermediate,36,106,186,male,very_active,Back,Pull Up,strength,4,8,0,90,2,5.0,67.1
Muscle Gain,Intermediate,36,106,186,male,very_active,Legs,Romanian Deadlift,strength,4,8,0,90,3,5.0,67.1
Muscle Gain,Intermediate,36,106,186,male,very_active,Shoulders,Front Raise,strength,4,8,0,90,4,3.0,40.3
Muscle Gain,Intermediate,36,106,186,male,very_active,Arms,Concentration Curl,strength,4,8,0,90,5,2.8,37.6
Maintain Weight,Beginner,21,110,180,female,very_active,Cardio,Cycling,cardio,2,0,24,48,1,7.5,11.0
Maintain Weight,Beginner,21,110,180,female,very_active,Core,Plank,strength,2,9,0,48,2,3.5,18.6
Maintain Weight,Beginner,21,110,180,female,very_active,Chest,Push Up,strength,2,9,0,48,3,3.8,20.2
Maintain Weight,Beginner,21,110,180,female,very_active,Legs,Lunges,strength,2,9,0,48,4,4.5,23.9
Maintain Weight,Beginner,21,110,180,female,very_active,Shoulders,Lateral Raise,strength,2,9,0,48,5,3.0,15.9
Muscle Gain,Advanced,38,89,196,female,light,Chest,Bench Press,strength,4,9,0,108,1,5.0,57.9
Muscle Gain,Advanced,38,89,196,female,light,Back,Pull Up,strength,4,9,0,108,2,5.0,57.9
Muscle Gain,Advanced,38,89,196,female,light,Legs,Romanian Deadlift,strength,4,9,0,108,3,5.0,57.9
Muscle Gain,Advanced,38,89,196,female,light,Shoulders,Front Raise,strength,4,9,0,108,4,3.0,34.7
Muscle Gain,Advanced,38,89,196,female,light,Arms,Concentration Curl,strength,4,9,0,108,5,2.8,32.4
Weight Loss,Beginner,40,80,186,male,very_active,Cardio,Box Jumps,cardio,2,0,24,24,1,10.0,10.7
Weight Loss,Beginner,40,80,186,male,very_active,Core,Leg Raises,strength,2,12,0,24,2,3.0,8.8
Weight Loss,Beginner,40,80,186,male,very_active,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,9.6
Weight Loss,Beginner,40,80,186,male,very_active,Legs,Leg Press,strength,2,12,0,24,4,5.0,14.7
Weight Loss,Beginner,23,86,187,male,very_active,Cardio,Running,cardio,2,0,24,24,1,9.8,11.2
Weight Loss,Beginner,23,86,187,male,very_active,Core,Crunches,strength,2,12,0,24,2,3.0,9.5
Weight Loss,Beginner,23,86,187,male,very_active,Full Body,Thruster,cardio,2,0,24,24,3,9.5,10.9
Weight Loss,Beginner,23,86,187,male,very_active,Legs,Calf Raises,strength,2,12,0,24,4,2.5,7.9
Muscle Gain,Advanced,21,79,187,female,active,Chest,Push Up,strength,4,9,0,108,1,3.8,39.0
Muscle Gain,Advanced,21,79,187,female,active,Back,Deadlift,strength,4,9,0,108,2,6.0,61.6
Muscle Gain,Advanced,21,79,187,female,active,Legs,Leg Press,strength,4,9,0,108,3,5.0,51.4
Muscle Gain,Advanced,21,79,187,female,active,Shoulders,Arnold Press,strength,4,9,0,108,4,4.0,41.1
Muscle Gain,Advanced,21,79,187,female,active,Arms,Skull Crushers,strength,4,9,0,108,5,3.5,35.9
Muscle Gain,Beginner,38,82,194,female,very_active,Chest,Dips,strength,3,6,0,72,1,4.0,29.5
Muscle Gain,Beginner,38,82,194,female,very_active,Back,Deadlift,strength,3,6,0,72,2,6.0,44.3
Muscle Gain,Beginner,38,82,194,female,very_active,Legs,Leg Press,strength,3,6,0,72,3,5.0,36.9
Muscle Gain,Beginner,38,82,194,female,very_active,Shoulders,Lateral Raise,strength,3,6,0,72,4,3.0,22.1
Muscle Gain,Beginner,38,82,194,female,very_active,Arms,Hammer Curl,strength,3,6,0,72,5,3.0,22.1
Weight Loss,Intermediate,51,91,174,male,light,Cardio,Kettlebell Swing,cardio,3,0,30,30,1,9.0,20.5
Weight Loss,Intermediate,51,91,174,male,light,Core,Leg Raises,strength,3,15,0,30,2,3.0,17.1
Weight Loss,Intermediate,51,91,174,male,light,Full Body,Kettlebell Swing,cardio,3,0,30,30,3,9.0,20.5
Weight Loss,Intermediate,51,91,174,male,light,Legs,Squat,strength,3,15,0,30,4,6.0,34.1
Muscle Gain,Beginner,20,92,173,female,moderate,Chest,Dips,strength,3,6,0,72,1,4.0,33.1
Muscle Gain,Beginner,20,92,173,female,moderate,Back,Pull Up,strength,3,6,0,72,2,5.0,41.4
Muscle Gain,Beginner,20,92,173,female,moderate,Legs,Squat,strength,3,6,0,72,3,6.0,49.7
Muscle Gain,Beginner,20,92,173,female,moderate,Shoulders,Arnold Press,strength,3,6,0,72,4,4.0,33.1
Muscle Gain,Beginner,20,92,173,female,moderate,Arms,Tricep Pushdown,strength,3,6,0,72,5,3.0,24.8
Maintain Weight,Intermediate,32,87,193,female,moderate,Cardio,Box Jumps,cardio,3,0,30,60,1,10.0,21.8
Maintain Weight,Intermediate,32,87,193,female,moderate,Core,Ab Wheel Rollout,strength,3,12,0,60,2,4.0,27.8
Maintain Weight,Intermediate,32,87,193,female,moderate,Chest,Dips,strength,3,12,0,60,3,4.0,27.8
Maintain Weight,Intermediate,32,87,193,female,moderate,Legs,Calf Raises,strength,3,12,0,60,4,2.5,17.4
Maintain Weight,Intermediate,32,87,193,female,moderate,Shoulders,Lateral Raise,strength,3,12,0,60,5,3.0,20.9
Maintain Weight,Beginner,26,71,173,female,very_active,Cardio,Jump Rope,cardio,2,0,24,48,1,12.3,11.6
Maintain Weight,Beginner,26,71,173,female,very_active,Core,Ab Wheel Rollout,strength,2,9,0,48,2,4.0,13.7
Maintain Weight,Beginner,26,71,173,female,very_active,Chest,Bench Press,strength,2,9,0,48,3,5.0,17.2
Maintain Weight,Beginner,26,71,173,female,very_active,Legs,Lunges,strength,2,9,0,48,4,4.5,15.4
Maintain Weight,Beginner,26,71,173,female,very_active,Shoulders,Overhead Press,strength,2,9,0,48,5,5.0,17.2
Weight Loss,Advanced,30,79,177,female,very_active,Cardio,Battle Ropes,cardio,3,0,36,36,1,10.0,23.7
Weight Loss,Advanced,30,79,177,female,very_active,Core,Crunches,strength,3,18,0,36,2,3.0,16.6
Weight Loss,Advanced,30,79,177,female,very_active,Full Body,Burpees,cardio,3,0,36,36,3,10.0,23.7
Weight Loss,Advanced,30,79,177,female,very_active,Legs,Lunges,strength,3,18,0,36,4,4.5,24.9
Weight Loss,Beginner,38,50,188,female,very_active,Cardio,Kettlebell Swing,cardio,2,0,24,24,1,9.0,6.0
Weight Loss,Beginner,38,50,188,female,very_active,Core,Ab Wheel Rollout,strength,2,12,0,24,2,4.0,7.3
Weight Loss,Beginner,38,50,188,female,very_active,Full Body,Thruster,cardio,2,0,24,24,3,9.5,6.3
Weight Loss,Beginner,38,50,188,female,very_active,Legs,Lunges,strength,2,12,0,24,4,4.5,8.2
Weight Loss,Beginner,23,117,192,male,very_active,Cardio,Running,cardio,2,0,24,24,1,9.8,15.3
Weight Loss,Beginner,23,117,192,male,very_active,Core,Leg Raises,strength,2,12,0,24,2,3.0,12.9
Weight Loss,Beginner,23,117,192,male,very_active,Full Body,Burpees,cardio,2,0,24,24,3,10.0,15.6
Weight Loss,Beginner,23,117,192,male,very_active,Legs,Squat,strength,2,12,0,24,4,6.0,25.7
Weight Loss,Intermediate,40,80,183,male,very_active,Cardio,Burpees,cardio,3,0,30,30,1,10.0,20.0
Weight Loss,Intermediate,40,80,183,male,very_active,Core,Crunches,strength,3,15,0,30,2,3.0,15.0
Weight Loss,Intermediate,40,80,183,male,very_active,Full Body,Kettlebell Swing,cardio,3,0,30,30,3,9.0,18.0
Weight Loss,Intermediate,40,80,183,male,very_active,Legs,Calf Raises,strength,3,15,0,30,4,2.5,12.5
Muscle Gain,Advanced,30,72,169,female,active,Chest,Dips,strength,4,9,0,108,1,4.0,37.4
Muscle Gain,Advanced,30,72,169,female,active,Back,Bent Over Row,strength,4,9,0,108,2,5.0,46.8
Muscle Gain,Advanced,30,72,169,female,active,Legs,Leg Press,strength,4,9,0,108,3,5.0,46.8
Muscle Gain,Advanced,30,72,169,female,active,Shoulders,Front Raise,strength,4,9,0,108,4,3.0,28.1
Muscle Gain,Advanced,30,72,169,female,active,Arms,Hammer Curl,strength,4,9,0,108,5,3.0,28.1
Maintain Weight,Advanced,21,111,182,female,sedentary,Cardio,Kettlebell Swing,cardio,3,0,36,72,1,9.0,30.0
Maintain Weight,Advanced,21,111,182,female,sedentary,Core,Ab Wheel Rollout,strength,3,14,0,72,2,4.0,37.7
Maintain Weight,Advanced,21,111,182,female,sedentary,Chest,Dips,strength,3,14,0,72,3,4.0,37.7
Maintain Weight,Advanced,21,111,182,female,sedentary,Legs,Squat,strength,3,14,0,72,4,6.0,56.6
Maintain Weight,Advanced,21,111,182,female,sedentary,Shoulders,Face Pull,strength,3,14,0,72,5,3.0,28.3
Muscle Gain,Intermediate,28,83,183,female,sedentary,Chest,Dips,strength,4,8,0,90,1,4.0,42.1
Muscle Gain,Intermediate,28,83,183,female,sedentary,Back,Deadlift,strength,4,8,0,90,2,6.0,63.1
Muscle Gain,Intermediate,28,83,183,female,sedentary,Legs,Lunges,strength,4,8,0,90,3,4.5,47.3
Muscle Gain,Intermediate,28,83,183,female,sedentary,Shoulders,Front Raise,strength,4,8,0,90,4,3.0,31.5
Muscle Gain,Intermediate,28,83,183,female,sedentary,Arms,Bicep Curl,strength,4,8,0,90,5,3.0,31.5
Maintain Weight,Beginner,31,116,157,male,sedentary,Cardio,Jump Rope,cardio,2,0,24,48,1,12.3,19.0
Maintain Weight,Beginner,31,116,157,male,sedentary,Core,Plank,strength,2,9,0,48,2,3.5,19.6
Maintain Weight,Beginner,31,116,157,male,sedentary,Chest,Dips,strength,2,9,0,48,3,4.0,22.4
Maintain Weight,Beginner,31,116,157,male,sedentary,Legs,Calf Raises,strength,2,9,0,48,4,2.5,14.0
Maintain Weight,Beginner,31,116,157,male,sedentary,Shoulders,Lateral Raise,strength,2,9,0,48,5,3.0,16.8
Muscle Gain,Beginner,46,53,163,female,very_active,Chest,Incline Dumbbell Press,strength,3,6,0,72,1,4.5,21.5
Muscle Gain,Beginner,46,53,163,female,very_active,Back,Deadlift,strength,3,6,0,72,2,6.0,28.6
Muscle Gain,Beginner,46,53,163,female,very_active,Legs,Romanian Deadlift,strength,3,6,0,72,3,5.0,23.8
Muscle Gain,Beginner,46,53,163,female,very_active,Shoulders,Arnold Press,strength,3,6,0,72,4,4.0,19.1
Muscle Gain,Beginner,46,53,163,female,very_active,Arms,Tricep Pushdown,strength,3,6,0,72,5,3.0,14.3
Weight Loss,Beginner,49,54,181,female,light,Cardio,Jump Rope,cardio,2,0,24,24,1,12.3,8.9
Weight Loss,Beginner,49,54,181,female,light,Core,Plank,strength,2,12,0,24,2,3.5,6.9
Weight Loss,Beginner,49,54,181,female,light,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,6.5
Weight Loss,Beginner,49,54,181,female,light,Legs,Squat,strength,2,12,0,24,4,6.0,11.9
Weight Loss,Beginner,39,118,190,female,very_active,Cardio,Battle Ropes,cardio,2,0,24,24,1,10.0,15.7
Weight Loss,Beginner,39,118,190,female,very_active,Core,Plank,strength,2,12,0,24,2,3.5,15.1
Weight Loss,Beginner,39,118,190,female,very_active,Full Body,Thruster,cardio,2,0,24,24,3,9.5,14.9
Weight Loss,Beginner,39,118,190,female,very_active,Legs,Romanian Deadlift,strength,2,12,0,24,4,5.0,21.6
Muscle Gain,Intermediate,52,64,198,female,very_active,Chest,Bench Press,strength,4,8,0,90,1,5.0,40.5
Muscle Gain,Intermediate,52,64,198,female,very_active,Back,Lat Pulldown,strength,4,8,0,90,2,3.5,28.4
Muscle Gain,Intermediate,52,64,198,female,very_active,Legs,Lunges,strength,4,8,0,90,3,4.5,36.5
Muscle Gain,Intermediate,52,64,198,female,very_active,Shoulders,Face Pull,strength,4,8,0,90,4,3.0,24.3
Muscle Gain,Intermediate,52,64,198,female,very_active,Arms,Tricep Pushdown,strength,4,8,0,90,5,3.0,24.3
Weight Loss,Beginner,48,105,171,male,light,Cardio,Kettlebell Swing,cardio,2,0,24,24,1,9.0,12.6
Weight Loss,Beginner,48,105,171,male,light,Core,Crunches,strength,2,12,0,24,2,3.0,11.6
Weight Loss,Beginner,48,105,171,male,light,Full Body,Burpees,cardio,2,0,24,24,3,10.0,14.0
Weight Loss,Beginner,48,105,171,male,light,Legs,Romanian Deadlift,strength,2,12,0,24,4,5.0,19.2
Weight Loss,Intermediate,52,87,199,male,moderate,Cardio,Jump Rope,cardio,3,0,30,30,1,12.3,26.8
Weight Loss,Intermediate,52,87,199,male,moderate,Core,Russian Twist,strength,3,15,0,30,2,3.5,19.0
Weight Loss,Intermediate,52,87,199,male,moderate,Full Body,Clean and Press,cardio,3,0,30,30,3,9.0,19.6
Weight Loss,Intermediate,52,87,199,male,moderate,Legs,Squat,strength,3,15,0,30,4,6.0,32.6
Weight Loss,Intermediate,40,102,175,male,sedentary,Cardio,Kettlebell Swing,cardio,3,0,30,30,1,9.0,23.0
Weight Loss,Intermediate,40,102,175,male,sedentary,Core,Ab Wheel Rollout,strength,3,15,0,30,2,4.0,25.5
Weight Loss,Intermediate,40,102,175,male,sedentary,Full Body,Kettlebell Swing,cardio,3,0,30,30,3,9.0,23.0
Weight Loss,Intermediate,40,102,175,male,sedentary,Legs,Lunges,strength,3,15,0,30,4,4.5,28.7
Muscle Gain,Advanced,27,119,171,male,light,Chest,Dips,strength,4,9,0,108,1,4.0,61.9
Muscle Gain,Advanced,27,119,171,male,light,Back,Lat Pulldown,strength,4,9,0,108,2,3.5,54.1
Muscle Gain,Advanced,27,119,171,male,light,Legs,Romanian Deadlift,strength,4,9,0,108,3,5.0,77.4
Muscle Gain,Advanced,27,119,171,male,light,Shoulders,Lateral Raise,strength,4,9,0,108,4,3.0,46.4
Muscle Gain,Advanced,27,119,171,male,light,Arms,Concentration Curl,strength,4,9,0,108,5,2.8,43.3
Maintain Weight,Beginner,38,82,156,male,moderate,Cardio,Cycling,cardio,2,0,24,48,1,7.5,8.2
Maintain Weight,Beginner,38,82,156,male,moderate,Core,Plank,strength,2,9,0,48,2,3.5,13.9
Maintain Weight,Beginner,38,82,156,male,moderate,Chest,Incline Dumbbell Press,strength,2,9,0,48,3,4.5,17.8
Maintain Weight,Beginner,38,82,156,male,moderate,Legs,Romanian Deadlift,strength,2,9,0,48,4,5.0,19.8
Maintain Weight,Beginner,38,82,156,male,moderate,Shoulders,Lateral Raise,strength,2,9,0,48,5,3.0,11.9
Maintain Weight,Beginner,41,112,158,female,very_active,Cardio,Running,cardio,2,0,24,48,1,9.8,14.6
Maintain Weight,Beginner,41,112,158,female,very_active,Core,Russian Twist,strength,2,9,0,48,2,3.5,18.9
Maintain Weight,Beginner,41,112,158,female,very_active,Chest,Push Up,strength,2,9,0,48,3,3.8,20.6
Maintain Weight,Beginner,41,112,158,female,very_active,Legs,Squat,strength,2,9,0,48,4,6.0,32.5
Maintain Weight,Beginner,41,112,158,female,very_active,Shoulders,Overhead Press,strength,2,9,0,48,5,5.0,27.1
Weight Loss,Beginner,39,96,188,male,active,Cardio,Cycling,cardio,2,0,24,24,1,7.5,9.6
Weight Loss,Beginner,39,96,188,male,active,Core,Ab Wheel Rollout,strength,2,12,0,24,2,4.0,14.1
Weight Loss,Beginner,39,96,188,male,active,Full Body,Battle Ropes,cardio,2,0,24,24,3,10.0,12.8
Weight Loss,Beginner,39,96,188,male,active,Legs,Lunges,strength,2,12,0,24,4,4.5,15.8
Maintain Weight,Beginner,49,91,183,male,moderate,Cardio,Kettlebell Swing,cardio,2,0,24,48,1,9.0,10.9
Maintain Weight,Beginner,49,91,183,male,moderate,Core,Russian Twist,strength,2,9,0,48,2,3.5,15.4
Maintain Weight,Beginner,49,91,183,male,moderate,Chest,Bench Press,strength,2,9,0,48,3,5.0,22.0
Maintain Weight,Beginner,49,91,183,male,moderate,Legs,Squat,strength,2,9,0,48,4,6.0,26.4
Maintain Weight,Beginner,49,91,183,male,moderate,Shoulders,Face Pull,strength,2,9,0,48,5,3.0,13.2
Maintain Weight,Intermediate,30,71,168,female,moderate,Cardio,Running,cardio,3,0,30,60,1,9.8,17.4
Maintain Weight,Intermediate,30,71,168,female,moderate,Core,Russian Twist,strength,3,12,0,60,2,3.5,19.9
Maintain Weight,Intermediate,30,71,168,female,moderate,Chest,Dips,strength,3,12,0,60,3,4.0,22.7
Maintain Weight,Intermediate,30,71,168,female,moderate,Legs,Romanian Deadlift,strength,3,12,0,60,4,5.0,28.4
Maintain Weight,Intermediate,30,71,168,female,moderate,Shoulders,Face Pull,strength,3,12,0,60,5,3.0,17.0
Weight Loss,Beginner,33,79,188,female,active,Cardio,Burpees,cardio,2,0,24,24,1,10.0,10.5
Weight Loss,Beginner,33,79,188,female,active,Core,Russian Twist,strength,2,12,0,24,2,3.5,10.1
Weight Loss,Beginner,33,79,188,female,active,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,9.5
Weight Loss,Beginner,33,79,188,female,active,Legs,Leg Press,strength,2,12,0,24,4,5.0,14.5
Weight Loss,Advanced,23,61,166,male,light,Cardio,Kettlebell Swing,cardio,3,0,36,36,1,9.0,16.5
Weight Loss,Advanced,23,61,166,male,light,Core,Plank,strength,3,18,0,36,2,3.5,14.9
Weight Loss,Advanced,23,61,166,male,light,Full Body,Kettlebell Swing,cardio,3,0,36,36,3,9.0,16.5
Weight Loss,Advanced,23,61,166,male,light,Legs,Romanian Deadlift,strength,3,18,0,36,4,5.0,21.4
Muscle Gain,Advanced,33,63,195,female,active,Chest,Incline Dumbbell Press,strength,4,9,0,108,1,4.5,36.9
Muscle Gain,Advanced,33,63,195,female,active,Back,Deadlift,strength,4,9,0,108,2,6.0,49.1
Muscle Gain,Advanced,33,63,195,female,active,Legs,Leg Press,strength,4,9,0,108,3,5.0,41.0
Muscle Gain,Advanced,33,63,195,female,active,Shoulders,Front Raise,strength,4,9,0,108,4,3.0,24.6
Muscle Gain,Advanced,33,63,195,female,active,Arms,Tricep Pushdown,strength,4,9,0,108,5,3.0,24.6
Weight Loss,Beginner,43,53,180,female,active,Cardio,Jump Rope,cardio,2,0,24,24,1,12.3,8.7
Weight Loss,Beginner,43,53,180,female,active,Core,Crunches,strength,2,12,0,24,2,3.0,5.8
Weight Loss,Beginner,43,53,180,female,active,Full Body,Clean and Press,cardio,2,0,24,24,3,9.0,6.4
Weight Loss,Beginner,43,53,180,female,active,Legs,Squat,strength,2,12,0,24,4,6.0,11.7
Maintain Weight,Advanced,30,70,193,male,light,Cardio,Box Jumps,cardio,3,0,36,72,1,10.0,21.0
Maintain Weight,Advanced,30,70,193,male,light,Core,Plank,strength,3,14,0,72,2,3.5,20.8
Maintain Weight,Advanced,30,70,193,male,light,Chest,Bench Press,strength,3,14,0,72,3,5.0,29.8
Maintain Weight,Advanced,30,70,193,male,light,Legs,Calf Raises,strength,3,14,0,72,4,2.5,14.9
Maintain Weight,Advanced,30,70,193,male,light,Shoulders,Arnold Press,strength,3,14,0,72,5,4.0,23.8
Maintain Weight,Advanced,21,96,157,male,moderate,Cardio,Running,cardio,3,0,36,72,1,9.8,28.2
Maintain Weight,Advanced,21,96,157,male,moderate,Core,Crunches,strength,3,14,0,72,2,3.0,24.5
Maintain Weight,Advanced,21,96,157,male,moderate,Chest,Bench Press,strength,3,14,0,72,3,5.0,40.8
Maintain Weight,Advanced,21,96,157,male,moderate,Legs,Romanian Deadlift,strength,3,14,0,72,4,5.0,40.8
Maintain Weight,Advanced,21,96,157,male,moderate,Shoulders,Arnold Press,strength,3,14,0,72,5,4.0,32.6
Weight Loss,Beginner,42,74,189,male,light,Cardio,Jump Rope,cardio,2,0,24,24,1,12.3,12.1
Weight Loss,Beginner,42,74,189,male,light,Core,Crunches,strength,2,12,0,24,2,3.0,8.1
Weight Loss,Beginner,42,74,189,male,light,Full Body,Thruster,cardio,2,0,24,24,3,9.5,9.4
Weight Loss,Beginner,42,74,189,male,light,Legs,Calf Raises,strength,2,12,0,24,4,2.5,6.8
Muscle Gain,Beginner,41,68,198,male,light,Chest,Bench Press,strength,3,6,0,72,1,5.0,30.6
Muscle Gain,Beginner,41,68,198,male,light,Back,Bent Over Row,strength,3,6,0,72,2,5.0,30.6
Muscle Gain,Beginner,41,68,198,male,light,Legs,Leg Press,strength,3,6,0,72,3,5.0,30.6
Muscle Gain,Beginner,41,68,198,male,light,Shoulders,Arnold Press,strength,3,6,0,72,4,4.0,24.5
Muscle Gain,Beginner,41,68,198,male,light,Arms,Tricep Pushdown,strength,3,6,0,72,5,3.0,18.4
Maintain Weight,Advanced,48,105,191,male,very_active,Cardio,Jump Rope,cardio,3,0,36,72,1,12.3,38.7
Maintain Weight,Advanced,48,105,191,male,very_active,Core,Ab Wheel Rollout,strength,3,14,0,72,2,4.0,35.7
Maintain Weight,Advanced,48,105,191,male,very_active,Chest,Incline Dumbbell Press,strength,3,14,0,72,3,4.5,40.2
Maintain Weight,Advanced,48,105,191,male,very_active,Legs,Romanian Deadlift,strength,3,14,0,72,4,5.0,44.6
Maintain Weight,Advanced,48,105,191,male,very_active,Shoulders,Face Pull,strength,3,14,0,72,5,3.0,26.8
Maintain Weight,Advanced,19,71,156,female,active,Cardio,Battle Ropes,cardio,3,0,36,72,1,10.0,21.3
Maintain Weight,Advanced,19,71,156,female,active,Core,Plank,strength,3,14,0,72,2,3.5,21.1
Maintain Weight,Advanced,19,71,156,female,active,Chest,Cable Fly,strength,3,14,0,72,3,3.5,21.1
Maintain Weight,Advanced,19,71,156,female,active,Legs,Leg Press,strength,3,14,0,72,4,5.0,30.2
Maintain Weight,Advanced,19,71,156,female,active,Shoulders,Front Raise,strength,3,14,0,72,5,3.0,18.1
Weight Loss,Advanced,21,107,179,female,moderate,Cardio,Jump Rope,cardio,3,0,36,36,1,12.3,39.5
